SensorBelt_detectionDistance (Meters),robot1_jointAngle1 (Degrees),robot1_jointAngle2 (Degrees),robot1_jointAngle3 (Degrees),robot1_jointAngle4 (Degrees),robot1_jointAngle5 (Degrees),robot1_jointAngle6 (Degrees),robot1_jointAngle7 (Degrees),robot2_jointAngle1 (Degrees),robot2_jointAngle2 (Degrees),robot2_jointAngle3 (Degrees),robot2_jointAngle4 (Degrees),robot2_jointAngle5 (Degrees),robot2_jointAngle6 (Degrees),robot2_jointAngle7 (Degrees),robot1_joint1_velocity (Degrees/Seconds),robot1_joint2_velocity (Degrees/Seconds),robot1_joint3_velocity (Degrees/Seconds),robot1_joint4_velocity (Degrees/Seconds),robot1_joint5_velocity (Degrees/Seconds),robot1_joint6_velocity (Degrees/Seconds),robot1_joint7_velocity (Degrees/Seconds),robot2_joint1_velocity (Degrees/Seconds),robot2_joint2_velocity (Degrees/Seconds),robot2_joint3_velocity (Degrees/Seconds),robot2_joint4_velocity (Degrees/Seconds),robot2_joint5_velocity (Degrees/Seconds),robot2_joint6_velocity (Degrees/Seconds),robot2_joint7_velocity (Degrees/Seconds),beltSpeed (Centimeters/Second),torque (Newtonmeter),sensorShelf_detectionDistance (Meters),powerConsumptionGripper (Watt)
100.0,39.595,-85.645,129.18,-27.88,-19.558,20.42,20.42,40.696,6.8579,22.246,-67.655,-46.946,50.071,50.071,-0.00040981,-0.0023223,0.0021857,0.0036542,0.0001366,-0.0016051,-0.0016051,0.00068302,-0.00010245,0.00071717,-0.0028687,-0.00068302,0.00081962,0.00081962,0.8,0,100,0
100.0,39.595,-85.645,129.19,-27.88,-19.558,20.42,20.42,40.696,6.8579,22.247,-67.655,-46.946,50.071,50.071,-0.00040981,-0.0024589,0.0021857,0.00362,6.8302e-05,-0.0018442,-0.0018442,0.00068302,-0.0001366,0.00068302,-0.0023223,-0.00040981,0.0010928,0.0010928,0.8,0,100,0
100.0,39.595,-85.645,129.19,-27.879,-19.558,20.42,20.42,40.696,6.8579,22.247,-67.655,-46.946,50.071,50.071,-0.00047811,-0.0024589,0.0019125,0.00362,0.00017075,-0.0015026,-0.0015026,0.00075132,9.3915e-05,0.00075132,-0.0031419,-0.00068302,0.00054642,0.00054642,0.8,0,100,0
100.0,39.595,-85.645,129.19,-27.879,-19.558,20.42,20.42,40.697,6.8579,22.247,-67.655,-46.946,50.071,50.071,-0.00040981,-0.0024589,0.0019125,0.0037225,-3.4151e-05,-0.0018442,-0.0018442,0.00027321,-0.00035858,0.00051226,-0.0023223,-0.00054642,0.0011611,0.0011611,0.8,0,100,0
100.0,39.595,-85.645,129.19,-27.879,-19.558,20.42,20.42,40.697,6.8579,22.247,-67.655,-46.946,50.071,50.071,-0.00047811,-0.0023223,0.0021857,0.0037225,0.00010245,-0.0015026,-0.0015026,0.00047811,6.8302e-05,0.00064887,-0.0028687,-0.00068302,0.00081962,0.00081962,0.8,0,100,0
100.0,39.595,-85.646,129.19,-27.879,-19.558,20.42,20.42,40.697,6.8579,22.247,-67.655,-46.946,50.071,50.071,-0.00040981,-0.0023223,0.0024589,0.0034151,0.00020491,-0.0018442,-0.0018442,0.00068302,0.00019637,0.00071717,-0.0027321,-0.00027321,0.00088792,0.00088792,0.8,0,100,0
100.0,39.595,-85.646,129.19,-27.879,-19.558,20.42,20.42,40.697,6.8579,22.247,-67.655,-46.946,50.071,50.071,-0.00047811,-0.0025955,0.0019125,0.0037566,3.4151e-05,-0.0016734,-0.0016734,0.00075132,-0.00019637,0.00075132,-0.0025955,-0.00068302,0.00088792,0.00088792,0.8,0,100,0
100.0,39.595,-85.646,129.19,-27.878,-19.558,20.419,20.419,40.697,6.8578,22.247,-67.656,-46.946,50.071,50.071,-0.00040981,-0.0023223,0.0021857,0.00362,0.00010245,-0.0017075,-0.0017075,0.00061472,-0.00052934,0.00054642,-0.0025955,-0.00068302,0.00088792,0.00088792,0.8,0,100,0
100.0,39.595,-85.646,129.19,-27.878,-19.558,20.419,20.419,40.697,6.8579,22.247,-67.656,-46.946,50.071,50.071,-0.00047811,-0.0024589,0.0019125,0.0037566,6.8302e-05,-0.0015368,-0.0015368,0.00068302,0.00064887,0.00051226,-0.0028687,-0.00020491,0.00095623,0.00095623,0.8,0,100,0
100.0,39.595,-85.646,129.19,-27.878,-19.558,20.419,20.419,40.697,6.8579,22.247,-67.656,-46.946,50.071,50.071,-0.00040981,-0.0023223,0.0021857,0.0035175,0.00017075,-0.0017075,-0.0017075,0.00040981,-0.00018783,0.00071717,-0.0028687,-0.00068302,0.00068302,0.00068302,0.8,0,100,0
100.0,39.595,-85.646,129.19,-27.878,-19.558,20.419,20.419,40.697,6.8579,22.247,-67.656,-46.946,50.071,50.071,-0.00040981,-0.0023223,0.0021857,0.00362,0.00010245,-0.0017417,-0.0017417,0.00061472,-0.00011953,0.00092208,-0.0024589,-0.00061472,0.00095623,0.00095623,0.8,0,100,0
100.0,39.595,-85.646,129.19,-27.878,-19.558,20.419,20.419,40.697,6.8578,22.247,-67.656,-46.946,50.071,50.071,-0.00040981,-0.0024589,0.0019125,0.0035517,0.0001366,-0.0017075,-0.0017075,0.00081962,-0.00024759,0.00061472,-0.0028687,-0.00054642,0.00075132,0.00075132,0.8,0,100,0
100.0,39.595,-85.646,129.19,-27.878,-19.558,20.419,20.419,40.697,6.8579,22.247,-67.656,-46.946,50.072,50.072,-0.00040981,-0.0023223,0.0021857,0.0036542,6.8302e-05,-0.0016734,-0.0016734,0.0001366,0.00019637,0.00075132,-0.0025955,-0.00054642,0.00095623,0.00095623,0.8,0,100,0
100.0,39.595,-85.647,129.19,-27.877,-19.557,20.419,20.419,40.697,6.8579,22.247,-67.656,-46.946,50.072,50.072,-0.00040981,-0.0023223,0.0021857,0.0035517,0.00017075,-0.0015709,-0.0015709,0.00081962,-3.4151e-05,0.00088792,-0.0028687,-0.00068302,0.00068302,0.00068302,0.8,0,100,0
100.0,39.595,-85.647,129.19,-27.877,-19.557,20.419,20.419,40.697,6.8578,22.247,-67.657,-46.946,50.072,50.072,-0.00047811,-0.0025955,0.0016392,0.00362,3.4151e-05,-0.00181,-0.00181,0.00047811,-0.0003159,0.00058057,-0.0025955,-0.00054642,0.00088792,0.00088792,0.8,0,100,0
100.0,39.595,-85.647,129.19,-27.877,-19.557,20.419,20.419,40.697,6.8578,22.247,-67.657,-46.946,50.072,50.072,-0.00047811,-0.0023223,0.0021857,0.0037225,3.4151e-05,-0.0016051,-0.0016051,0.00061472,3.4151e-05,0.00044396,-0.0025955,-0.00040981,0.0010245,0.0010245,0.8,0,100,0
100.0,39.595,-85.647,129.19,-27.877,-19.557,20.419,20.419,40.697,6.8578,22.247,-67.657,-46.946,50.072,50.072,-0.00040981,-0.0023223,0.0021857,0.0035517,0.0001366,-0.0016392,-0.0016392,0.00075132,-1.7075e-05,0.00075132,-0.0027321,-0.00054642,0.00081962,0.00081962,0.8,0,100,0
100.0,39.594,-85.647,129.19,-27.877,-19.557,20.419,20.419,40.697,6.8578,22.247,-67.657,-46.946,50.072,50.072,-0.00047811,-0.0024589,0.0019125,0.0034834,0.00017075,-0.0017417,-0.0017417,0.00047811,-0.00014514,0.0010928,-0.0028687,-0.00075132,0.00061472,0.00061472,0.8,0,100,0
100.0,39.594,-85.647,129.19,-27.876,-19.557,20.419,20.419,40.697,6.8578,22.247,-67.657,-46.946,50.072,50.072,-0.00047811,-0.0023223,0.0021857,0.0037225,0.0,-0.0017417,-0.0017417,0.00061472,-6.8302e-05,0.00040981,-0.0021857,-0.00034151,0.0012294,0.0012294,0.8,0,100,0
100.0,39.594,-85.647,129.19,-27.876,-19.557,20.418,20.418,40.697,6.8578,22.247,-67.657,-46.946,50.072,50.072,-0.00047811,-0.0024589,0.0019125,0.0035175,0.00017075,-0.0016051,-0.0016051,0.00054642,0.00010245,0.00075132,-0.0030053,-0.00054642,0.00068302,0.00068302,0.8,0,100,0
100.0,39.594,-85.647,129.19,-27.876,-19.557,20.418,20.418,40.697,6.8578,22.247,-67.657,-46.946,50.072,50.072,-0.00047811,-0.0023223,0.0021857,0.0035858,0.0001366,-0.0016051,-0.0016051,0.00040981,2.5613e-05,0.00037566,-0.0028687,-0.00040981,0.00088792,0.00088792,0.8,0,100,0
100.0,39.594,-85.648,129.19,-27.876,-19.557,20.418,20.418,40.697,6.8578,22.247,-67.657,-46.946,50.072,50.072,-0.00047811,-0.0024589,0.0016392,0.0037908,-3.4151e-05,-0.0016734,-0.0016734,0.00088792,-0.00012807,0.00061472,-0.0023223,-0.00047811,0.0010928,0.0010928,0.8,0,100,0
100.0,39.594,-85.648,129.19,-27.876,-19.557,20.418,20.418,40.697,6.8578,22.247,-67.658,-46.946,50.072,50.072,-0.00040981,-0.0021857,0.0021857,0.0032443,0.00030736,-0.0019125,-0.0019125,0.00034151,-0.00024759,0.0012294,-0.0027321,-0.00075132,0.00061472,0.00061472,0.8,0,100,0
100.0,39.594,-85.648,129.19,-27.876,-19.557,20.418,20.418,40.697,6.8578,22.247,-67.658,-46.947,50.072,50.072,-0.00047811,-0.0023223,0.0021857,0.0037566,3.4151e-05,-0.0014343,-0.0014343,0.00047811,0.00011099,0.00064887,-0.0025955,-0.00061472,0.0010245,0.0010245,0.8,0,100,0
100.0,39.594,-85.648,129.19,-27.875,-19.557,20.418,20.418,40.697,6.8578,22.247,-67.658,-46.947,50.072,50.072,-0.00040981,-0.0023223,0.0021857,0.0034834,0.00017075,-0.0017075,-0.0017075,0.00075132,-0.00016222,0.00064887,-0.0027321,-0.00047811,0.00081962,0.00081962,0.8,0,100,0
100.0,39.594,-85.648,129.19,-27.875,-19.557,20.418,20.418,40.697,6.8578,22.247,-67.658,-46.947,50.072,50.072,-0.00047811,-0.0024589,0.0016392,0.00362,6.8302e-05,-0.0017417,-0.0017417,0.00040981,-0.00019637,0.00085377,-0.0025955,-0.00068302,0.00075132,0.00075132,0.8,0,100,0
100.0,39.594,-85.648,129.19,-27.875,-19.557,20.418,20.418,40.697,6.8578,22.247,-67.658,-46.947,50.072,50.072,-0.00040981,-0.0023223,0.0021857,0.0035175,0.0001366,-0.0017075,-0.0017075,0.00075132,-0.00037566,0.00054642,-0.0025955,-0.00054642,0.00088792,0.00088792,0.8,0,100,0
100.0,39.594,-85.648,129.19,-27.875,-19.557,20.418,20.418,40.697,6.8578,22.247,-67.658,-46.947,50.072,50.072,-0.00040981,-0.0021857,0.0021857,0.0035517,0.00020491,-0.0014685,-0.0014685,0.00020491,0.00040981,0.00047811,-0.0030053,-0.00040981,0.00081962,0.00081962,0.8,0,100,0
100.0,39.594,-85.648,129.19,-27.875,-19.557,20.418,20.418,40.697,6.8578,22.247,-67.658,-46.947,50.072,50.072,-0.00047811,-0.0024589,0.0019125,0.0036542,0.0,-0.0017417,-0.0017417,0.00081962,-0.00037566,0.00078547,-0.0023223,-0.00061472,0.0010245,0.0010245,0.8,0,100,0
100.0,39.594,-85.648,129.19,-27.875,-19.557,20.418,20.418,40.697,6.8578,22.247,-67.659,-46.947,50.072,50.072,-0.00040981,-0.0021857,0.0021857,0.0034151,0.00027321,-0.0016051,-0.0016051,0.00054642,0.00011099,0.00078547,-0.0030053,-0.00054642,0.00068302,0.00068302,0.8,0,100,0
100.0,39.594,-85.649,129.19,-27.874,-19.557,20.418,20.418,40.697,6.8578,22.248,-67.659,-46.947,50.072,50.072,-0.00047811,-0.0023223,0.0019125,0.0035517,0.00010245,-0.0017075,-0.0017075,0.00075132,-0.00034151,0.00037566,-0.0025955,-0.00040981,0.00088792,0.00088792,0.8,0,100,0
100.0,39.594,-85.649,129.19,-27.874,-19.557,20.417,20.417,40.697,6.8578,22.248,-67.659,-46.947,50.072,50.072,-0.00047811,-0.0023223,0.0019125,0.0036542,0.00010245,-0.0015026,-0.0015026,0.00027321,1.7075e-05,0.00071717,-0.0027321,-0.00068302,0.00081962,0.00081962,0.8,0,100,0
100.0,39.594,-85.649,129.19,-27.874,-19.557,20.417,20.417,40.697,6.8578,22.248,-67.659,-46.947,50.072,50.072,-0.00040981,-0.0023223,0.0021857,0.0035175,6.8302e-05,-0.0018783,-0.0018783,0.00047811,-0.0001366,0.00081962,-0.0021857,-0.00047811,0.0010928,0.0010928,0.8,0,100,0
100.0,39.594,-85.649,129.19,-27.874,-19.557,20.417,20.417,40.697,6.8578,22.248,-67.659,-46.947,50.072,50.072,-0.00047811,-0.0024589,0.0016392,0.00362,0.00010245,-0.0015026,-0.0015026,0.00088792,0.00010245,0.00061472,-0.0028687,-0.00047811,0.00075132,0.00075132,0.8,0,100,0
100.0,39.594,-85.649,129.19,-27.874,-19.557,20.417,20.417,40.697,6.8578,22.248,-67.659,-46.947,50.072,50.072,-0.00040981,-0.0021857,0.0021857,0.0035858,0.00010245,-0.0016392,-0.0016392,0.00027321,4.2689e-05,0.00081962,-0.0023223,-0.00054642,0.0010928,0.0010928,0.8,0,100,0
100.0,39.594,-85.649,129.19,-27.873,-19.557,20.417,20.417,40.697,6.8578,22.248,-67.659,-46.947,50.073,50.073,-0.00040981,-0.0021857,0.0021857,0.0034151,0.00023906,-0.0016734,-0.0016734,0.00081962,-0.00023906,0.00054642,-0.0025955,-0.00047811,0.00081962,0.00081962,0.8,0,100,0
100.0,39.594,-85.649,129.19,-27.873,-19.557,20.417,20.417,40.697,6.8578,22.248,-67.659,-46.947,50.073,50.073,-0.00047811,-0.0023223,0.0019125,0.00362,0.00010245,-0.0015709,-0.0015709,0.00034151,2.5613e-05,0.00064887,-0.0028687,-0.00061472,0.00075132,0.00075132,0.8,0,100,0
100.0,39.594,-85.649,129.19,-27.873,-19.557,20.417,20.417,40.697,6.8578,22.248,-67.66,-46.947,50.073,50.073,-0.00040981,-0.0023223,0.0019125,0.0035858,0.0001366,-0.0015709,-0.0015709,0.00081962,0.00018783,0.00051226,-0.0025955,-0.00027321,0.00095623,0.00095623,0.8,0,100,0
100.0,39.594,-85.649,129.19,-27.873,-19.557,20.417,20.417,40.698,6.8578,22.248,-67.66,-46.947,50.073,50.073,-0.00040981,-0.0023223,0.0019125,0.0034492,0.0001366,-0.00181,-0.00181,0.00034151,-0.00036712,0.00078547,-0.0025955,-0.00068302,0.00075132,0.00075132,0.8,0,100,0
100.0,39.594,-85.65,129.19,-27.873,-19.557,20.417,20.417,40.698,6.8577,22.248,-67.66,-46.947,50.073,50.073,-0.00040981,-0.0021857,0.0024589,0.0034492,0.00017075,-0.0017075,-0.0017075,0.00095623,-0.00015368,0.00085377,-0.0021857,-0.00047811,0.0010245,0.0010245,0.8,0,100,0
100.0,39.594,-85.65,129.19,-27.873,-19.557,20.417,20.417,40.698,6.8578,22.248,-67.66,-46.947,50.073,50.073,-0.00047811,-0.0023223,0.0016392,0.00362,0.0001366,-0.0014685,-0.0014685,0.00054642,0.00024759,0.00047811,-0.0030053,-0.00040981,0.00075132,0.00075132,0.8,0,100,0
100.0,39.594,-85.65,129.19,-27.872,-19.557,20.417,20.417,40.698,6.8578,22.248,-67.66,-46.947,50.073,50.073,-0.00047811,-0.0023223,0.0019125,0.0036542,3.4151e-05,-0.0016051,-0.0016051,0.00027321,-9.3915e-05,0.00068302,-0.0024589,-0.00061472,0.00095623,0.00095623,0.8,0,100,0
100.0,39.594,-85.65,129.19,-27.872,-19.557,20.417,20.417,40.698,6.8577,22.248,-67.66,-46.947,50.073,50.073,-0.00040981,-0.0021857,0.0021857,0.0035175,0.00017075,-0.0015709,-0.0015709,0.00075132,-0.00051226,0.00064887,-0.0025955,-0.00075132,0.00075132,0.00075132,0.8,0,100,0
100.0,39.594,-85.65,129.19,-27.872,-19.557,20.416,20.416,40.698,6.8577,22.248,-67.66,-46.947,50.073,50.073,-0.00040981,-0.0023223,0.0016392,0.0034151,0.00017075,-0.0017417,-0.0017417,0.00027321,0.00029028,0.00068302,-0.0028687,-0.00027321,0.00075132,0.00075132,0.8,0,100,0
100.0,39.594,-85.65,129.19,-27.872,-19.557,20.416,20.416,40.698,6.8577,22.248,-67.66,-46.947,50.073,50.073,-0.00047811,-0.0023223,0.0019125,0.0035517,0.00010245,-0.0016734,-0.0016734,0.00081962,-0.00036712,0.00081962,-0.0023223,-0.00068302,0.00095623,0.00095623,0.8,0,100,0
100.0,39.594,-85.65,129.19,-27.872,-19.557,20.416,20.416,40.698,6.8577,22.248,-67.661,-46.947,50.073,50.073,-0.00040981,-0.0020491,0.0024589,0.0034151,0.00030736,-0.0014343,-0.0014343,0.00027321,0.00011099,0.00051226,-0.0031419,-0.00061472,0.00061472,0.00061472,0.8,0,100,0
100.0,39.594,-85.65,129.19,-27.872,-19.557,20.416,20.416,40.698,6.8577,22.248,-67.661,-46.947,50.073,50.073,-0.00047811,-0.0023223,0.0019125,0.0035517,6.8302e-05,-0.0016392,-0.0016392,0.00054642,9.3915e-05,0.00061472,-0.0024589,-0.00040981,0.00095623,0.00095623,0.8,0,100,0
100.0,39.594,-85.65,129.19,-27.871,-19.557,20.416,20.416,40.698,6.8577,22.248,-67.661,-46.947,50.073,50.073,-0.00040981,-0.0023223,0.0019125,0.0034151,0.00017075,-0.0017075,-0.0017075,0.00047811,-0.0001366,0.00061472,-0.0027321,-0.00047811,0.00075132,0.00075132,0.8,0,100,0
100.0,39.594,-85.651,129.19,-27.871,-19.557,20.416,20.416,40.698,6.8577,22.248,-67.661,-46.947,50.073,50.073,-0.00040981,-0.0021857,0.0021857,0.0035175,0.00010245,-0.0017075,-0.0017075,0.00081962,-0.00018783,0.0012294,-0.0020491,-0.00075132,0.00095623,0.00095623,0.8,0,100,0
100.0,39.594,-85.651,129.19,-27.871,-19.557,20.416,20.416,40.698,6.8577,22.248,-67.661,-46.947,50.073,50.073,-0.00047811,-0.0023223,0.0016392,0.00362,6.8302e-05,-0.0016051,-0.0016051,0.00061472,-0.00011099,0.00044396,-0.0025955,-0.00047811,0.00088792,0.00088792,0.8,0,100,0
100.0,39.594,-85.651,129.19,-27.871,-19.557,20.416,20.416,40.698,6.8577,22.248,-67.661,-46.947,50.073,50.073,-0.00040981,-0.0021857,0.0019125,0.0034492,0.00017075,-0.0016392,-0.0016392,0.00054642,0.00018783,0.00054642,-0.0025955,-0.00027321,0.00095623,0.00095623,0.8,0,100,0
100.0,39.594,-85.651,129.19,-27.871,-19.557,20.416,20.416,40.698,6.8577,22.248,-67.661,-46.947,50.073,50.073,-0.00040981,-0.0023223,0.0019125,0.0033468,0.00020491,-0.0017417,-0.0017417,0.00027321,-0.00041835,0.00075132,-0.0028687,-0.00075132,0.00061472,0.00061472,0.8,0,100,0
100.0,39.594,-85.651,129.19,-27.87,-19.557,20.416,20.416,40.698,6.8577,22.248,-67.661,-46.947,50.073,50.073,-0.00047811,-0.0021857,0.0019125,0.0036542,6.8302e-05,-0.0015026,-0.0015026,0.00054642,0.00014514,0.00058057,-0.0023223,-0.00040981,0.0010928,0.0010928,0.8,0,100,0
100.0,39.594,-85.651,129.19,-27.87,-19.557,20.416,20.416,40.698,6.8577,22.248,-67.662,-46.947,50.073,50.073,-0.00040981,-0.0020491,0.0021857,0.0034151,0.00020491,-0.0015709,-0.0015709,0.00075132,-4.2689e-05,0.00058057,-0.0025955,-0.00040981,0.00088792,0.00088792,0.8,0,100,0
100.0,39.594,-85.651,129.19,-27.87,-19.557,20.416,20.416,40.698,6.8577,22.248,-67.662,-46.947,50.073,50.073,-0.00047811,-0.0023223,0.0019125,0.0034492,0.00017075,-0.0016051,-0.0016051,0.00061472,-0.00024759,0.00078547,-0.0025955,-0.00068302,0.00075132,0.00075132,0.8,0,100,0
100.0,39.594,-85.651,129.19,-27.87,-19.557,20.415,20.416,40.698,6.8577,22.248,-67.662,-46.947,50.073,50.073,-0.00047811,-0.0021857,0.0019125,0.0035858,0.00010245,-0.0015026,-0.0015026,0.00040981,-0.00014514,0.00071717,-0.0024589,-0.00068302,0.00088792,0.00088792,0.8,0,100,0
100.0,39.594,-85.651,129.19,-27.87,-19.557,20.415,20.415,40.698,6.8577,22.248,-67.662,-46.947,50.073,50.073,-0.00040981,-0.0021857,0.0019125,0.0033126,0.00023906,-0.0016392,-0.0016392,0.00068302,0.00018783,0.00081962,-0.0027321,-0.00040981,0.00068302,0.00068302,0.8,0,100,0
100.0,39.594,-85.652,129.19,-27.87,-19.557,20.415,20.415,40.698,6.8577,22.248,-67.662,-46.947,50.073,50.073,-0.00047811,-0.0023223,0.0019125,0.0036542,6.8302e-05,-0.0014002,-0.0014002,0.00027321,-0.00010245,0.00020491,-0.0027321,-0.00054642,0.00095623,0.00095623,0.8,0,100,0
100.0,39.594,-85.652,129.19,-27.869,-19.557,20.415,20.415,40.698,6.8577,22.248,-67.662,-46.947,50.073,50.073,-0.00040981,-0.0021857,0.0019125,0.0032785,0.00027321,-0.0016734,-0.0016734,0.00047811,0.0001366,0.00081962,-0.0027321,-0.00040981,0.00075132,0.00075132,0.8,0,100,0
100.0,39.594,-85.652,129.19,-27.869,-19.557,20.415,20.415,40.698,6.8577,22.248,-67.662,-46.947,50.074,50.074,-0.00047811,-0.0023223,0.0019125,0.0035858,3.4151e-05,-0.0016392,-0.0016392,0.00088792,-0.00048665,0.00075132,-0.0020491,-0.00068302,0.0010245,0.0010245,0.8,0,100,0
100.0,39.594,-85.652,129.19,-27.869,-19.557,20.415,20.415,40.698,6.8577,22.249,-67.663,-46.947,50.074,50.074,-0.00040981,-0.0021857,0.0019125,0.0034151,0.00020491,-0.0015709,-0.0015709,0.00054642,0.00017929,0.00061472,-0.0027321,-0.00040981,0.00075132,0.00075132,0.8,0,100,0
100.0,39.594,-85.652,129.19,-27.869,-19.557,20.415,20.415,40.698,6.8577,22.249,-67.663,-46.948,50.074,50.074,-0.00040981,-0.0021857,0.0019125,0.0032785,0.00023906,-0.0017417,-0.0017417,0.00027321,-0.00027321,0.00088792,-0.0025955,-0.00068302,0.00068302,0.00068302,0.8,0,100,0
100.0,39.593,-85.652,129.19,-27.869,-19.557,20.415,20.415,40.698,6.8577,22.249,-67.663,-46.948,50.074,50.074,-0.00040981,-0.0021857,0.0021857,0.0034834,0.0001366,-0.0015368,-0.0015368,0.00088792,9.3915e-05,0.00051226,-0.0024589,-0.00027321,0.0010245,0.0010245,0.8,0,100,0
100.0,39.593,-85.652,129.19,-27.869,-19.557,20.415,20.415,40.698,6.8577,22.249,-67.663,-46.948,50.074,50.074,-0.00040981,-0.0021857,0.0019125,0.0033809,0.00017075,-0.0017075,-0.0017075,0.00054642,-0.00041835,0.0010245,-0.0024589,-0.00081962,0.00075132,0.00075132,0.8,0,100,0
100.0,39.593,-85.652,129.19,-27.868,-19.557,20.415,20.415,40.698,6.8577,22.249,-67.663,-46.948,50.074,50.074,-0.00047811,-0.0023223,0.0016392,0.00362,6.8302e-05,-0.0014002,-0.0014002,0.00027321,0.00026467,0.00030736,-0.0028687,-0.00040981,0.00088792,0.00088792,0.8,0,100,0
100.0,39.593,-85.652,129.19,-27.868,-19.557,20.415,20.415,40.698,6.8577,22.249,-67.663,-46.948,50.074,50.074,-0.00040981,-0.0023223,0.0019125,0.0033126,0.00017075,-0.00181,-0.00181,0.00054642,-0.00021344,0.00078547,-0.0024589,-0.00047811,0.00081962,0.00081962,0.0,0,100,0
100.0,39.593,-85.653,129.19,-27.868,-19.557,20.415,20.415,40.698,6.8577,22.249,-67.663,-46.948,50.074,50.074,-0.00047811,-0.0020491,0.0021857,0.0034492,0.00023906,-0.0013319,-0.0013319,0.00068302,0.00012807,0.00034151,-0.0028687,-0.00040981,0.00081962,0.00081962,0.0,0,100,0
100.0,39.593,-85.653,129.19,-27.868,-19.557,20.415,20.415,40.698,6.8576,22.249,-67.663,-46.948,50.074,50.074,-0.00047811,-0.0021857,0.0019125,0.0034151,0.0001366,-0.0017417,-0.0017417,0.00068302,-0.0003159,0.00095623,-0.0021857,-0.00061472,0.00088792,0.00088792,0.0,0,100,0
100.0,39.593,-85.653,129.19,-27.868,-19.557,20.414,20.414,40.698,6.8576,22.249,-67.664,-46.948,50.074,50.074,-0.00047811,-0.0021857,0.0019125,0.0034834,0.0001366,-0.0015368,-0.0015368,0.00040981,-8.5377e-05,0.00054642,-0.0025955,-0.00054642,0.00081962,0.00081962,0.0,0,100,0
100.0,39.593,-85.653,129.19,-27.868,-19.557,20.414,20.414,40.698,6.8576,22.249,-67.664,-46.948,50.074,50.074,-0.00047811,-0.0021857,0.0019125,0.0034492,0.00010245,-0.0016392,-0.0016392,0.00061472,-0.00023052,0.00068302,-0.0024589,-0.00054642,0.00088792,0.00088792,0.0,0,100,0
100.0,39.593,-85.653,129.19,-27.867,-19.557,20.414,20.414,40.698,6.8576,22.249,-67.664,-46.948,50.074,50.074,-0.00047811,-0.0021857,0.0019125,0.00362,3.4151e-05,-0.0015026,-0.0015026,0.00088792,0.00011953,0.00064887,-0.0021857,-0.00034151,0.0010928,0.0010928,0.0,0,100,0
100.0,39.593,-85.653,129.19,-27.867,-19.557,20.414,20.414,40.698,6.8576,22.249,-67.664,-46.948,50.074,50.074,-0.00040981,-0.0021857,0.0019125,0.0032785,0.00030736,-0.0015026,-0.0015026,0.0001366,4.2689e-05,0.00099038,-0.0030053,-0.00081962,0.00047811,0.00047811,0.0,0,100,0
100.0,39.593,-85.653,129.19,-27.867,-19.557,20.414,20.414,40.698,6.8577,22.249,-67.664,-46.948,50.074,50.074,-0.00047811,-0.0021857,0.0019125,0.0034151,0.0001366,-0.0016392,-0.0016392,0.00061472,0.00019637,0.00027321,-0.0025955,-6.8302e-05,0.0010245,0.0010245,0.0,0,100,0
100.0,39.593,-85.653,129.19,-27.867,-19.557,20.414,20.414,40.698,6.8576,22.249,-67.664,-46.948,50.074,50.074,-0.00047811,-0.0023223,0.0016392,0.0035175,0.00010245,-0.0014685,-0.0014685,0.00047811,-9.3915e-05,0.00058057,-0.0027321,-0.00061472,0.00075132,0.00075132,0.0,0,100,0
100.0,39.593,-85.653,129.19,-27.867,-19.557,20.414,20.414,40.699,6.8576,22.249,-67.664,-46.948,50.074,50.074,-0.00040981,-0.0020491,0.0021857,0.0032102,0.00023906,-0.00181,-0.00181,0.00047811,-0.00029882,0.00092208,-0.0021857,-0.00054642,0.00088792,0.00088792,0.0,0,100,0
100.0,39.593,-85.654,129.19,-27.867,-19.557,20.414,20.414,40.699,6.8576,22.249,-67.664,-46.948,50.074,50.074,-0.00047811,-0.0021857,0.0016392,0.0034151,0.0001366,-0.0015368,-0.0015368,0.00061472,-0.00036712,0.00095623,-0.0024589,-0.00081962,0.00068302,0.00068302,0.0,0,100,0
100.0,39.593,-85.654,129.19,-27.866,-19.557,20.414,20.414,40.699,6.8576,22.249,-67.665,-46.948,50.074,50.074,-0.00040981,-0.0020491,0.0021857,0.0032785,0.00023906,-0.0016392,-0.0016392,0.00061472,9.3915e-05,0.00044396,-0.0025955,-0.00020491,0.00088792,0.00088792,0.0,0,100,0
100.0,39.593,-85.654,129.19,-27.866,-19.557,20.414,20.414,40.699,6.8576,22.249,-67.665,-46.948,50.074,50.074,-0.00047811,-0.0021857,0.0016392,0.0035175,0.00010245,-0.0015026,-0.0015026,0.0001366,-6.8302e-05,0.00051226,-0.0025955,-0.00061472,0.00088792,0.00088792,0.0,3,100,50
100.0,39.593,-85.654,129.19,-27.866,-19.557,20.414,20.414,40.699,6.8576,22.249,-67.665,-46.948,50.074,50.074,-0.00040981,-0.0020491,0.0021857,0.0033468,0.00023906,-0.0014002,-0.0014002,0.0010245,0.00012807,0.00064887,-0.0025955,-0.00040981,0.00081962,0.00081962,0.0,3,100,50
100.0,39.748,-85.61,129.69,-27.524,-19.49,20.487,20.487,40.799,6.99,21.652,-67.369,-46.782,50.137,50.137,3.0975,0.87235,9.9229,6.8315,1.3401,1.4683,1.4683,2.0096,2.648,-11.942,5.9219,3.3147,1.263,1.263,0.0,1,100,50
