SensorBelt_detectionDistance (Meters),robot1_jointAngle1 (Degrees),robot1_jointAngle2 (Degrees),robot1_jointAngle3 (Degrees),robot1_jointAngle4 (Degrees),robot1_jointAngle5 (Degrees),robot1_jointAngle6 (Degrees),robot1_jointAngle7 (Degrees),robot2_jointAngle1 (Degrees),robot2_jointAngle2 (Degrees),robot2_jointAngle3 (Degrees),robot2_jointAngle4 (Degrees),robot2_jointAngle5 (Degrees),robot2_jointAngle6 (Degrees),robot2_jointAngle7 (Degrees),robot1_joint1_velocity (Degrees/Seconds),robot1_joint2_velocity (Degrees/Seconds),robot1_joint3_velocity (Degrees/Seconds),robot1_joint4_velocity (Degrees/Seconds),robot1_joint5_velocity (Degrees/Seconds),robot1_joint6_velocity (Degrees/Seconds),robot1_joint7_velocity (Degrees/Seconds),robot2_joint1_velocity (Degrees/Seconds),robot2_joint2_velocity (Degrees/Seconds),robot2_joint3_velocity (Degrees/Seconds),robot2_joint4_velocity (Degrees/Seconds),robot2_joint5_velocity (Degrees/Seconds),robot2_joint6_velocity (Degrees/Seconds),robot2_joint7_velocity (Degrees/Seconds),beltSpeed (Centimeters/Second),torque (Newtonmeter),sensorShelf_detectionDistance (Meters),powerConsumptionGripper (Watt)
100.0,16.551,-49.567,93.031,-54.648,2.7991,28.616,28.616,18.205,-28.466,52.375,-48.496,-31.452,37.324,37.324,20.492,-12.319,11.393,26.069,-24.792,-9.2965,-9.2965,13.501,15.961,-11.889,-10.783,-5.1284,5.9333,5.9333,0.8,1,100,0
100.0,17.573,-50.197,93.636,-53.318,1.5582,28.131,28.132,18.881,-27.669,51.785,-49.089,-31.708,37.63,37.63,20.438,-12.604,12.11,26.601,-24.817,-9.6981,-9.698,13.519,15.939,-11.796,-11.864,-5.1251,6.1226,6.1226,0.8,1,100,0
100.0,18.584,-50.841,94.276,-51.979,0.32885,27.635,27.635,19.557,-26.874,51.2,-49.736,-31.967,37.949,37.949,20.229,-12.871,12.802,26.788,-24.587,-9.9243,-9.9243,13.523,15.89,-11.693,-12.95,-5.1637,6.3907,6.3907,0.8,1,100,0
100.0,19.581,-51.492,94.936,-50.655,-0.88675,27.144,27.144,20.228,-26.072,50.627,-50.459,-32.211,38.295,38.295,19.94,-13.032,13.201,26.479,-24.312,-9.8336,-9.8336,13.425,16.054,-11.468,-14.457,-4.8833,6.9089,6.9089,0.8,1,100,0
100.0,20.557,-52.154,95.615,-49.368,-2.0711,26.667,26.667,20.896,-25.261,50.063,-51.255,-32.448,38.672,38.672,19.523,-13.239,13.575,25.739,-23.687,-9.5348,-9.5348,13.349,16.205,-11.271,-15.916,-4.7482,7.546,7.546,0.8,1,100,0
100.0,21.502,-52.834,96.321,-48.13,-3.1978,26.208,26.208,21.564,-24.453,49.502,-52.098,-32.702,39.077,39.078,18.893,-13.594,14.129,24.755,-22.534,-9.1776,-9.1776,13.365,16.161,-11.219,-16.858,-5.0744,8.1076,8.1076,0.8,1,100,0
100.0,22.407,-53.534,97.052,-46.953,-4.2544,25.773,25.773,22.233,-23.646,48.941,-52.977,-32.977,39.51,39.51,18.097,-13.995,14.619,23.531,-21.132,-8.7013,-8.7013,13.371,16.142,-11.222,-17.589,-5.4981,8.6572,8.6572,0.8,1,100,0
100.0,23.267,-54.255,97.805,-45.846,-5.2321,25.366,25.366,22.901,-22.839,48.378,-53.882,-33.276,39.969,39.969,17.206,-14.423,15.042,22.149,-19.554,-8.1372,-8.1372,13.365,16.146,-11.268,-18.087,-5.986,9.1736,9.1736,0.8,1,100,0
100.0,24.082,-54.996,98.567,-44.817,-6.1313,24.994,24.994,23.565,-22.023,47.813,-54.811,-33.593,40.455,40.455,16.298,-14.823,15.257,20.586,-17.984,-7.439,-7.439,13.293,16.312,-11.303,-18.594,-6.3377,9.726,9.726,0.8,1,100,0
100.0,24.853,-55.756,99.332,-43.872,-6.9539,24.662,24.663,24.224,-21.193,47.246,-55.766,-33.922,40.971,40.971,15.425,-15.203,15.298,18.885,-16.451,-6.6326,-6.6326,13.172,16.617,-11.332,-19.093,-6.5818,10.305,10.305,0.8,1,100,0
